cpu_percent,cpu_freq,cpu_memory,cpu_temp,gpu_percent,gpu_memory,gpu_temp,per_cpu,avg_p_core,avg_e_core
22.7,3100.0,75.6,54.651278423244506,20.0,7.4951171875,40.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 0.0, 'type': 'P'}, {'logical_id': 2, 'usage': 50.0, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 42.9, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 0.0, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 57.1, 'type': 'E'}, {'logical_id': 9, 'usage': 42.9, 'type': 'E'}, {'logical_id': 10, 'usage': 57.1, 'type': 'E'}, {'logical_id': 11, 'usage': 57.1, 'type': 'E'}, {'logical_id': 12, 'usage': 28.6, 'type': 'E'}, {'logical_id': 13, 'usage': 25.0, 'type': 'E'}, {'logical_id': 14, 'usage': 0.0, 'type': 'E'}, {'logical_id': 15, 'usage': 14.3, 'type': 'E'}]",11.6125,35.262499999999996
12.6,3100.0,75.5,43.03344052049876,16.0,7.3974609375,40.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 0.0, 'type': 'P'}, {'logical_id': 2, 'usage': 12.5, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 0.0, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 0.0, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 33.3, 'type': 'E'}, {'logical_id': 9, 'usage': 37.5, 'type': 'E'}, {'logical_id': 10, 'usage': 87.5, 'type': 'E'}, {'logical_id': 11, 'usage': 71.4, 'type': 'E'}, {'logical_id': 12, 'usage': 50.0, 'type': 'E'}, {'logical_id': 13, 'usage': 50.0, 'type': 'E'}, {'logical_id': 14, 'usage': 0.0, 'type': 'E'}, {'logical_id': 15, 'usage': 0.0, 'type': 'E'}]",1.5625,41.212500000000006
30.6,3100.0,75.3,44.252731191098746,20.0,7.03125,40.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 0.0, 'type': 'P'}, {'logical_id': 2, 'usage': 28.6, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 0.0, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 0.0, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 28.6, 'type': 'E'}, {'logical_id': 9, 'usage': 57.1, 'type': 'E'}, {'logical_id': 10, 'usage': 71.4, 'type': 'E'}, {'logical_id': 11, 'usage': 57.1, 'type': 'E'}, {'logical_id': 12, 'usage': 85.7, 'type': 'E'}, {'logical_id': 13, 'usage': 11.1, 'type': 'E'}, {'logical_id': 14, 'usage': 11.1, 'type': 'E'}, {'logical_id': 15, 'usage': 0.0, 'type': 'E'}]",3.575,40.26250000000001
28.3,3100.0,75.4,36.520616406327946,15.0,7.275390625,40.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 37.5, 'type': 'P'}, {'logical_id': 2, 'usage': 14.3, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 14.3, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 42.9, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 25.0, 'type': 'E'}, {'logical_id': 9, 'usage': 14.3, 'type': 'E'}, {'logical_id': 10, 'usage': 62.5, 'type': 'E'}, {'logical_id': 11, 'usage': 14.3, 'type': 'E'}, {'logical_id': 12, 'usage': 71.4, 'type': 'E'}, {'logical_id': 13, 'usage': 57.1, 'type': 'E'}, {'logical_id': 14, 'usage': 0.0, 'type': 'E'}, {'logical_id': 15, 'usage': 0.0, 'type': 'E'}]",13.625,30.575
38.7,3100.0,76.7,41.92642494629468,65.0,9.228515625,40.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 50.0, 'type': 'P'}, {'logical_id': 2, 'usage': 25.0, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 14.3, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 28.6, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 71.4, 'type': 'E'}, {'logical_id': 9, 'usage': 85.7, 'type': 'E'}, {'logical_id': 10, 'usage': 71.4, 'type': 'E'}, {'logical_id': 11, 'usage': 87.5, 'type': 'E'}, {'logical_id': 12, 'usage': 71.4, 'type': 'E'}, {'logical_id': 13, 'usage': 100.0, 'type': 'E'}, {'logical_id': 14, 'usage': 85.7, 'type': 'E'}, {'logical_id': 15, 'usage': 71.4, 'type': 'E'}]",14.7375,80.5625
24.1,3100.0,76.6,41.3834493523265,26.0,8.7890625,41.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 70.0, 'type': 'P'}, {'logical_id': 2, 'usage': 75.0, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 71.4, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 57.1, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 28.6, 'type': 'E'}, {'logical_id': 9, 'usage': 87.5, 'type': 'E'}, {'logical_id': 10, 'usage': 57.1, 'type': 'E'}, {'logical_id': 11, 'usage': 62.5, 'type': 'E'}, {'logical_id': 12, 'usage': 14.3, 'type': 'E'}, {'logical_id': 13, 'usage': 0.0, 'type': 'E'}, {'logical_id': 14, 'usage': 0.0, 'type': 'E'}, {'logical_id': 15, 'usage': 0.0, 'type': 'E'}]",34.1875,31.25
14.3,3100.0,76.6,58.72657827952305,9.0,7.8369140625,40.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 37.5, 'type': 'P'}, {'logical_id': 2, 'usage': 14.3, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 25.0, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 28.6, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 14.3, 'type': 'E'}, {'logical_id': 9, 'usage': 28.6, 'type': 'E'}, {'logical_id': 10, 'usage': 37.5, 'type': 'E'}, {'logical_id': 11, 'usage': 14.3, 'type': 'E'}, {'logical_id': 12, 'usage': 16.7, 'type': 'E'}, {'logical_id': 13, 'usage': 25.0, 'type': 'E'}, {'logical_id': 14, 'usage': 0.0, 'type': 'E'}, {'logical_id': 15, 'usage': 14.3, 'type': 'E'}]",13.175,18.837500000000002
17.3,3100.0,76.5,48.83402327469253,15.0,7.91015625,40.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 12.5, 'type': 'P'}, {'logical_id': 2, 'usage': 12.5, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 0.0, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 12.5, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 0.0, 'type': 'E'}, {'logical_id': 9, 'usage': 50.0, 'type': 'E'}, {'logical_id': 10, 'usage': 25.0, 'type': 'E'}, {'logical_id': 11, 'usage': 25.0, 'type': 'E'}, {'logical_id': 12, 'usage': 33.3, 'type': 'E'}, {'logical_id': 13, 'usage': 0.0, 'type': 'E'}, {'logical_id': 14, 'usage': 0.0, 'type': 'E'}, {'logical_id': 15, 'usage': 0.0, 'type': 'E'}]",4.6875,16.6625
13.3,3100.0,76.4,36.10411953660071,16.0,7.91015625,40.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 28.6, 'type': 'P'}, {'logical_id': 2, 'usage': 14.3, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 14.3, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 0.0, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 0.0, 'type': 'E'}, {'logical_id': 9, 'usage': 42.9, 'type': 'E'}, {'logical_id': 10, 'usage': 28.6, 'type': 'E'}, {'logical_id': 11, 'usage': 28.6, 'type': 'E'}, {'logical_id': 12, 'usage': 14.3, 'type': 'E'}, {'logical_id': 13, 'usage': 0.0, 'type': 'E'}, {'logical_id': 14, 'usage': 0.0, 'type': 'E'}, {'logical_id': 15, 'usage': 0.0, 'type': 'E'}]",7.15,14.299999999999999
21.7,3100.0,76.6,55.71207680372689,21.0,7.666015625,40.0,"[{'logical_id': 0, 'usage': 18.2, 'type': 'P'}, {'logical_id': 1, 'usage': 42.9, 'type': 'P'}, {'logical_id': 2, 'usage': 57.1, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 50.0, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 42.9, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 28.6, 'type': 'E'}, {'logical_id': 9, 'usage': 42.9, 'type': 'E'}, {'logical_id': 10, 'usage': 57.1, 'type': 'E'}, {'logical_id': 11, 'usage': 14.3, 'type': 'E'}, {'logical_id': 12, 'usage': 28.6, 'type': 'E'}, {'logical_id': 13, 'usage': 0.0, 'type': 'E'}, {'logical_id': 14, 'usage': 33.3, 'type': 'E'}, {'logical_id': 15, 'usage': 37.5, 'type': 'E'}]",26.3875,30.2875
