timestamp,elapsed_s,cpu_percent,cpu_freq,cpu_memory,cpu_temp,gpu_percent,gpu_memory,gpu_temp,anomaly,score,inference_latency_ms,jitter_ms,drift_detected
1771406805.345,0.3,6.8,3100.0,57.3,46.0,28.999999999999996,15.4052734375,46.0,1,0.283348,1.000,0.000,0
1771406806.341,1.3,2.1,3100.0,57.2,46.0,17.0,15.4052734375,46.0,1,0.393716,1.000,7.237,0
1771406807.394,2.4,15.4,3100.0,57.4,46.0,0.0,15.4052734375,46.0,1,0.263331,1.000,10.929,0
1771406808.321,3.3,9.3,3100.0,57.5,46.0,5.0,15.6005859375,46.0,-1,-0.092468,1.000,4.095,0
1771406809.313,4.3,4.5,3100.0,57.5,46.0,6.0,15.6005859375,46.0,-1,-0.407629,1.000,12.155,0
1771406810.316,5.3,8.3,3100.0,57.5,46.0,0.0,15.6005859375,46.0,-1,-0.368716,1.000,9.245,0
1771406811.311,6.3,5.9,3100.0,57.5,46.0,0.0,15.6005859375,46.0,1,0.107929,1.000,9.413,0
1771406812.309,7.3,8.7,3100.0,57.4,46.0,8.0,15.6005859375,46.0,1,0.283692,1.000,13.247,0
1771406813.341,8.3,9.4,3100.0,57.4,46.0,7.000000000000001,15.5029296875,46.0,-1,-0.168851,1.000,3.973,0
1771406814.355,9.3,6.6,3100.0,57.3,46.0,5.0,15.5029296875,46.0,1,0.490951,1.000,3.125,0
1771406815.304,10.3,13.2,3100.0,57.4,46.0,5.0,15.4052734375,46.0,-1,-0.286116,1.000,3.986,0
1771406816.312,11.3,7.5,3100.0,57.3,46.0,35.0,15.5517578125,46.0,1,0.447865,1.000,9.263,0
1771406817.344,12.3,14.7,3100.0,57.4,46.0,0.0,16.5283203125,45.0,-1,-0.308425,1.000,15.121,0
1771406818.316,13.3,5.9,3100.0,57.4,46.0,51.0,16.30859375,46.0,1,0.280157,1.000,11.071,0
1771406819.327,14.3,8.2,3100.0,57.4,46.0,1.0,16.3330078125,46.0,-1,-0.256233,1.000,8.494,0
1771406820.356,15.3,12.4,1500.0,57.5,46.0,7.000000000000001,16.3330078125,46.0,-1,-0.451524,1.000,13.683,0
1771406821.359,16.3,7.9,3100.0,57.5,46.0,5.0,16.3330078125,45.0,1,0.369747,1.000,6.401,0
1771406823.083,18.0,14.9,3100.0,57.5,46.0,0.0,16.3330078125,45.0,1,0.336068,1.000,771.715,0
1771406823.399,18.4,7.6,3100.0,57.5,46.0,6.0,16.3330078125,45.0,-1,-0.397119,1.000,64.867,0
1771406824.335,19.3,7.0,3100.0,57.5,45.0,6.0,16.3330078125,45.0,-1,-0.455561,1.000,14.529,0
1771406825.321,20.3,6.7,3100.0,57.5,45.0,0.0,16.3330078125,45.0,1,0.496982,1.000,13.321,0
1771406826.326,21.3,6.2,3100.0,57.5,45.0,0.0,16.3330078125,45.0,-1,-0.117343,1.000,5.351,0
1771406827.329,22.3,25.5,3100.0,57.5,45.0,2.0,16.3330078125,45.0,-1,-0.497903,1.000,3.627,0
1771406829.028,24.0,14.8,3100.0,57.5,45.0,0.0,16.30859375,45.0,-1,-0.160904,1.000,692.328,0
1771406829.331,24.3,14.6,3100.0,57.4,45.0,0.0,16.30859375,45.0,-1,-0.310808,1.000,12.277,0
1771406830.313,25.3,18.5,3100.0,57.4,45.0,18.0,16.30859375,45.0,-1,-0.439039,1.000,8.906,0
1771406831.378,26.3,3.6,3100.0,57.4,45.0,0.0,16.30859375,45.0,1,0.348466,1.000,12.471,0
1771406832.346,27.3,11.3,3100.0,57.4,45.0,0.0,16.30859375,45.0,-1,-0.143869,1.000,15.866,0
1771406833.739,28.7,9.0,3100.0,57.3,45.0,0.0,16.30859375,44.0,1,0.112060,1.000,440.066,0
1771406834.332,29.3,7.1,3100.0,57.3,45.0,0.0,16.30859375,44.0,-1,-0.466995,1.000,10.645,0
1771406835.345,30.3,13.3,3100.0,57.3,45.0,0.0,16.30859375,44.0,1,0.448029,1.000,8.259,0
1771406836.357,31.3,15.4,3100.0,57.3,45.0,0.0,16.30859375,44.0,-1,-0.169177,1.000,11.996,0
1771406837.345,32.3,11.8,3100.0,57.4,44.0,0.0,16.30859375,44.0,-1,-0.311350,1.000,11.964,0
1771406838.343,33.3,12.8,3100.0,57.3,44.0,0.0,16.30859375,44.0,1,0.148217,1.000,13.705,0
1771406840.044,35.0,21.0,3100.0,57.3,44.0,0.0,16.30859375,44.0,1,0.187283,1.000,711.387,0
1771406840.357,35.3,21.0,3100.0,57.3,44.0,0.0,16.30859375,44.0,-1,-0.393640,1.000,25.828,0
1771406841.343,36.3,9.7,3100.0,57.5,44.0,0.0,16.30859375,44.0,-1,-0.014898,1.000,3.643,0
1771406842.313,37.3,13.7,3100.0,57.4,44.0,0.0,16.30859375,44.0,-1,-0.084660,1.000,8.549,0
1771406843.344,38.3,12.7,3100.0,57.4,44.0,0.0,16.30859375,44.0,-1,-0.493625,1.000,12.500,0
